Date,Revenue,Orders,Avg_Order_Value
2025-10-01 22:10:55,9675.83,8,1209.47875
2025-10-02 09:54:56,38956.22,34,1145.7711764705882
2025-10-03 07:42:32,42177.52,38,1109.9347368421052
2025-10-04 04:45:46,31211.670000000002,32,975.3646875000001
2025-10-05 23:35:11,53068.32,53,1001.2890566037736
2025-10-06 18:04:23,41695.47,37,1126.9045945945945
2025-10-07 23:19:34,28101.18,27,1040.7844444444445
2025-10-08 07:18:13,37667.93,35,1076.2265714285713
2025-10-09 05:04:11,39186.26,34,1152.5370588235294
2025-10-10 13:20:52,42827.06,39,1098.1297435897436
2025-10-11 06:36:37,34907.47,33,1057.8021212121212
2025-10-12 02:29:00,38000.88,36,1055.58
2025-10-13 13:10:29,51368.34,47,1092.9434042553191
2025-10-14 10:27:08,34539.5,32,1079.359375
2025-10-15 14:18:55,33751.47,31,1088.7570967741935
2025-10-16 16:05:08,38548.84,33,1168.1466666666665
2025-10-17 02:26:59,39329.96,33,1191.8169696969696
2025-10-18 10:24:00,49946.49,46,1085.793260869565
2025-10-19 09:27:10,33513.34,34,985.6864705882352
2025-10-20 08:20:19,35578.95,35,1016.5414285714285
2025-10-21 20:26:08,40158.0,35,1147.3714285714286
2025-10-22 12:09:22,33633.64,31,1084.956129032258
2025-10-23 03:57:12,50983.83,47,1084.7623404255319
2025-10-24 09:40:53,39543.1,38,1040.6078947368421
2025-10-25 00:51:41,50965.19,42,1213.4569047619048
2025-10-26 02:29:17,42548.29,38,1119.6918421052633
2025-10-27 04:06:14,41315.66,41,1007.699024390244
2025-10-28 01:44:26,39963.77,32,1248.8678125
2025-10-29 23:02:18,29960.83,28,1070.029642857143
2025-10-30 17:25:50,35412.95,33,1073.1196969696969
2025-10-31 06:53:07,17867.82,18,992.6566666666666
