Session_ID,User_ID,Device,Region,Channel,Product_Category,Event_Order,Max_Event,Session_Start
SES00001,USR00001,Desktop,West,Organic,Home,3,Checkout,2025-10-28 07:33:50
SES00002,USR00002,Desktop,East,Email,Electronics,4,Purchase,2025-10-19 09:15:10
SES00003,USR00003,Desktop,East,Google Ads,Beauty,4,Purchase,2025-10-12 02:19:00
SES00004,USR00004,Tablet,West,Social Media,Home,1,Browse,2025-10-05 17:55:48
SES00005,USR00005,Tablet,West,Google Ads,Electronics,2,Add to Cart,2025-10-19 12:35:49
SES00006,USR00006,Tablet,North,Email,Beauty,1,Browse,2025-10-06 13:20:53
SES00007,USR00007,Mobile,South,Google Ads,Home,1,Browse,2025-10-20 15:23:11
SES00008,USR00008,Desktop,West,Google Ads,Beauty,4,Purchase,2025-10-13 12:59:29
SES00009,USR00009,Tablet,South,Organic,Fashion,2,Add to Cart,2025-10-17 10:27:10
SES00010,USR00010,Desktop,West,Email,Sports,1,Browse,2025-10-30 17:23:31
SES00011,USR00011,Tablet,South,Social Media,Fashion,3,Checkout,2025-10-23 13:33:44
SES00012,USR00012,Desktop,North,Social Media,Beauty,2,Add to Cart,2025-10-30 17:47:53
SES00013,USR00013,Tablet,East,Social Media,Sports,4,Purchase,2025-10-24 09:26:53
SES00014,USR00014,Tablet,South,Google Ads,Fashion,4,Purchase,2025-10-30 17:13:50
SES00015,USR00015,Mobile,West,Google Ads,Beauty,4,Purchase,2025-10-13 22:58:27
SES00016,USR00016,Mobile,East,Organic,Electronics,3,Checkout,2025-10-26 17:56:29
SES00017,USR00017,Desktop,West,Google Ads,Sports,1,Browse,2025-10-29 03:56:13
SES00018,USR00018,Mobile,East,Organic,Sports,1,Browse,2025-10-19 23:13:10
SES00019,USR00019,Mobile,West,Google Ads,Home,1,Browse,2025-10-07 01:32:36
SES00020,USR00020,Desktop,West,Email,Electronics,1,Browse,2025-10-27 12:48:22
SES00021,USR00021,Desktop,South,Social Media,Fashion,1,Browse,2025-10-08 22:04:33
SES00022,USR00022,Mobile,East,Google Ads,Sports,3,Checkout,2025-10-12 05:27:26
SES00023,USR00023,Tablet,West,Google Ads,Electronics,2,Add to Cart,2025-10-28 11:26:29
SES00024,USR00024,Mobile,South,Organic,Home,3,Checkout,2025-10-08 17:10:15
SES00025,USR00025,Tablet,North,Google Ads,Sports,3,Checkout,2025-10-11 21:31:06
SES00026,USR00026,Mobile,West,Google Ads,Fashion,4,Purchase,2025-10-28 01:31:26
SES00027,USR00027,Mobile,South,Social Media,Beauty,1,Browse,2025-10-03 10:08:55
SES00028,USR00028,Tablet,North,Google Ads,Home,2,Add to Cart,2025-10-11 06:44:35
SES00029,USR00029,Tablet,North,Google Ads,Beauty,1,Browse,2025-10-11 00:33:01
SES00030,USR00030,Tablet,South,Organic,Fashion,2,Add to Cart,2025-10-09 04:13:16
SES00031,USR00031,Tablet,East,Email,Fashion,4,Purchase,2025-10-31 06:41:07
SES00032,USR00032,Mobile,North,Organic,Sports,2,Add to Cart,2025-10-03 09:29:58
SES00033,USR00033,Tablet,West,Email,Beauty,4,Purchase,2025-10-23 03:47:12
SES00034,USR00034,Desktop,North,Google Ads,Sports,3,Checkout,2025-10-23 03:01:18
SES00035,USR00035,Desktop,East,Social Media,Electronics,3,Checkout,2025-10-24 17:17:11
SES00036,USR00036,Tablet,South,Organic,Fashion,2,Add to Cart,2025-10-23 23:31:34
SES00037,USR00037,Mobile,West,Google Ads,Home,1,Browse,2025-10-04 18:02:46
SES00038,USR00038,Tablet,North,Google Ads,Beauty,2,Add to Cart,2025-10-05 05:36:37
SES00039,USR00039,Desktop,East,Email,Sports,3,Checkout,2025-10-24 12:49:39
SES00040,USR00040,Desktop,South,Organic,Electronics,1,Browse,2025-10-13 06:39:58
SES00041,USR00041,Desktop,North,Organic,Beauty,3,Checkout,2025-10-22 17:52:09
SES00042,USR00042,Tablet,North,Social Media,Fashion,1,Browse,2025-10-02 02:00:46
SES00043,USR00043,Tablet,East,Email,Fashion,2,Add to Cart,2025-10-17 21:54:14
SES00044,USR00044,Tablet,East,Google Ads,Beauty,2,Add to Cart,2025-10-26 13:37:42
SES00045,USR00045,Tablet,North,Email,Beauty,1,Browse,2025-10-11 02:37:09
SES00046,USR00046,Tablet,East,Email,Electronics,2,Add to Cart,2025-10-03 15:34:30
SES00047,USR00047,Mobile,East,Organic,Electronics,1,Browse,2025-10-03 01:06:41
SES00048,USR00048,Tablet,South,Email,Electronics,3,Checkout,2025-10-16 18:22:12
SES00049,USR00049,Tablet,East,Email,Electronics,2,Add to Cart,2025-10-31 08:49:27
SES00050,USR00050,Tablet,South,Organic,Home,3,Checkout,2025-10-14 11:45:39
SES00051,USR00051,Tablet,North,Google Ads,Home,1,Browse,2025-10-05 01:07:33
SES00052,USR00052,Mobile,East,Social Media,Home,1,Browse,2025-10-15 16:03:13
SES00053,USR00053,Mobile,East,Google Ads,Electronics,3,Checkout,2025-10-16 06:56:30
SES00054,USR00054,Desktop,West,Google Ads,Home,2,Add to Cart,2025-10-09 07:40:27
SES00055,USR00055,Tablet,West,Google Ads,Electronics,2,Add to Cart,2025-10-06 07:54:15
SES00056,USR00056,Tablet,North,Email,Sports,1,Browse,2025-10-12 03:30:45
SES00057,USR00057,Tablet,South,Social Media,Beauty,1,Browse,2025-10-11 13:12:04
SES00058,USR00058,Mobile,South,Organic,Beauty,3,Checkout,2025-10-18 16:04:50
SES00059,USR00059,Mobile,South,Email,Fashion,1,Browse,2025-10-17 21:18:06
SES00060,USR00060,Tablet,West,Organic,Sports,4,Purchase,2025-10-05 23:25:11
SES00061,USR00061,Tablet,West,Social Media,Beauty,2,Add to Cart,2025-10-02 19:18:58
SES00062,USR00062,Desktop,South,Email,Sports,4,Purchase,2025-10-28 19:04:39
SES00063,USR00063,Mobile,West,Google Ads,Electronics,1,Browse,2025-10-04 06:45:35
SES00064,USR00064,Tablet,West,Email,Sports,2,Add to Cart,2025-10-03 20:40:36
SES00065,USR00065,Tablet,South,Email,Electronics,1,Browse,2025-10-24 18:03:46
SES00066,USR00066,Tablet,North,Email,Electronics,2,Add to Cart,2025-10-29 04:45:18
SES00067,USR00067,Mobile,West,Email,Beauty,3,Checkout,2025-10-11 07:31:15
SES00068,USR00068,Tablet,South,Social Media,Sports,1,Browse,2025-10-14 17:49:27
SES00069,USR00069,Mobile,West,Email,Electronics,3,Checkout,2025-10-05 01:15:08
SES00070,USR00070,Mobile,South,Organic,Electronics,1,Browse,2025-10-12 02:20:37
